baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG
0.08897151798009872,-0.10069669038057327,30,0,-0.10069669038057327,0,-0.10069669038057327
0.08897151798009872,-0.10069669038057327,40,0,-0.10069669038057327,0,-0.10069669038057327
0.08897151798009872,-0.10069669038057327,50,24,-0.10103213042020798,15,-0.10069732367992401
0.08897151798009872,-0.10069669038057327,60,33,-0.1010754257440567,32,-0.10023714601993561
0.08897151798009872,-0.10069669038057327,70,40,-0.10072968900203705,38,-0.0995555892586708
0.08897151798009872,-0.10069669038057327,80,45,-0.10061690211296082,44,-0.09986712038516998
0.08897151798009872,-0.10069669038057327,90,54,-0.10016345977783203,53,-0.10099569708108902
0.08897151798009872,-0.10069669038057327,100,63,-0.10113010555505753,57,-0.10191618651151657
0.08897151798009872,-0.10069669038057327,200,141,-0.09835536032915115,143,-0.103485107421875
0.08897151798009872,-0.10069669038057327,300,222,-0.09372653812170029,222,-0.09842357784509659
0.08897151798009872,-0.10069669038057327,400,301,-0.08896636962890625,293,-0.09381555020809174
0.08897151798009872,-0.10069669038057327,500,379,-0.08082535862922668,374,-0.09261264652013779
0.08897151798009872,-0.10069669038057327,600,459,-0.08384361118078232,450,-0.09118124842643738
0.08897151798009872,-0.10069669038057327,700,543,-0.08779792487621307,557,-0.07748451083898544
0.08897151798009872,-0.10069669038057327,800,645,-0.10056661069393158,629,-0.07725735008716583
0.08897151798009872,-0.10069669038057327,900,731,-0.09611167758703232,714,-0.07956714928150177
0.08897151798009872,-0.10069669038057327,1000,819,-0.08833529055118561,796,-0.06933415681123734
